token;is_stopword;token_count
'60;No;1
'60s;No;1
'61;No;1
'62;No;2
'63;No;2
'64;No;6
'65;No;1
'66;No;1
'67;No;1
'68;No;4
'69;No;1
'70;No;1
'73;No;6
'74;No;1
'75;No;2
'78;No;2
'79;No;8
'80s;No;3
'82;No;4
'83;No;3
'84;No;3
'85;No;3
'86;No;3
'87;No;12
'88;No;2
'89;No;6
'90s;No;1
'93;No;2
'94;No;2
'95;No;1
'96;No;3
'97;No;4
'98;No;2
'99;No;1
'a;No;5
'a-buzz;No;2
'ac;No;1
'aight;No;1
'aim;No;1
'ain't;No;1
'all;No;2
'amerikan;No;1
'and;No;1
'aye;No;2
'bach;No;4
'beautiful;No;1
'believe;No;1
'bis;No;2
'bleau;No;1
'blow;No;1
'bows;No;1
'burbs;No;1
'but;No;2
'bye;No;1
'caine;No;5
'can't;No;1
'case;No;1
'cha;No;1
'chasing;No;1
'cheating;No;1
'chelle;No;2
'chips;No;1
'clueless;No;1
'come;No;4
'course;No;1
'cover;No;1
'coz;No;13
'cross;No;16
'cuss;No;1
'cut;No;1
'cuz;No;38
'd;No;2
'da;No;1
'daddy;No;1
'dam;No;2
'dicted;No;2
'din;No;1
'disarm;No;1
'do;No;2
'don't;No;5
'dre;No;4
'dro;No;6
'dumb;No;1
'e;No;4
'each;No;2
'ed;No;1
'er;No;7
'ere;No;3
'escapologist;No;2
'everyone;No;2
'father;No;1
'finna;No;1
'flantly;No;1
'flooded;No;1
'for;No;3
'fore;No;111
'forgive;No;4
'fraid;No;1
'freedom;No;2
'freeze;No;6
'friend;No;1
'frisco;No;1
'fros;No;1
'fuck;No;1
'fucking;No;1
'funktion;No;1
'g;No;1
'gain;No;2
'gainst;No;2
'gators;No;1
'give;No;1
'gnac;No;1
'go;No;3
'gon;No;5
'gordian;No;1
'grade;No;3
'gram;No;5
'guilty;No;1
'hell;No;1
'hello;No;1
'hen;No;1
'hi;No;4
'hood;No;11
'hound;No;2
'hov;No;1
'how;No;3
'i;No;8
'i'm;No;2
'if;No;2
'im;No;2
'it;No;2
'jambalaya;No;1
'jects;No;1
'jesus;No;2
'judgment;No;1
'julie;No;1
'jump;No;3
'kick;No;2
'know;No;1
'lac;No;11
'lacs;No;1
'land;No;2
'least;No;1
'leccy;No;1
'lectric;No;7
'lejo;No;1
'less;No;36
'let;No;6
'leven;No;3
'liars;No;1
'like;No;1
'll;Yes;5
'lone;No;1
'long;No;6
'longside;No;6
'love;No;2
'lready;No;1
'm;No;2
'ma;No;1
'magine;No;1
'man;No;1
'mari;No;2
'matic;No;1
'matter;No;2
'member;No;5
'mind;No;4
'mongst;No;1
'most;No;10
'movement;No;1
'murder;No;1
'o;No;1
'o'clock;No;4
'oeur;No;1
'oh;No;11
'old;No;2
'ole;No;2
'ome;No;1
'ooooooooooh;No;1
'our;No;1
'owt;No;3
'pac;No;9
'parted;No;2
'party;No;2
'pee-pee;No;1
'pendent;No;2
'phetamines;No;1
'please;No;1
'plex;No;6
'pon;No;7
'posed;No;6
'posta;No;1
'preciate;No;1
'rape;No;2
're;No;5
'ready;No;5
'rents;No;1
'roll;No;6
'rose;No;3
'ru;No;1
'take;No;1
'tater;No;1
'tective;No;1
'tell;No;1
'tention;No;1
'the;No;3
'this;No;2
'though;No;2
'time;No;1
'tin;No;2
'tis;No;13
'tisn't;No;2
'tivation;No;1
'twas;No;13
'tween;No;2
'twill;No;2
'two;No;2
'twould;No;2
'tá;No;2
'um;No;4
'un;No;1
'uns;No;2
'upside;No;1
'vette;No;3
'ville;No;1
'walk;No;4
'way;No;23
'we;No;2
'we'll;No;1
'what;No;8
'when;No;1
'wherefores;No;1
'who;No;2
'why;No;3
'whys;No;1
'wish;No;1
'would;No;1
'wow;No;4
'x;No;1
'xactly;No;4
'xam;No;1
'ye;No;20
'yea;No;1
'yes;No;1
'yesterday;No;1
'yo;No;1
'yonce;No;2
'yoncé;No;3
'you;No;4
'zae;No;1
'zilla;No;1
'zinos;No;1
*;No;1
***;No;49
****;No;24
*****;No;1
******;No;2
*******;No;1
**should**;No;1
**something;No;1
*@*@*;No;1
*burp*;No;1
*chka-chk-chk*;No;1
*ding;No;2
*explosion*;No;2
*eyyoooohhh*;No;1
*falls;No;1
*get;No;3
*gun;No;1
*gunhots;No;2
*gunhots*;No;1
*hock;No;1
*i;No;1
*it;No;2
*laughing*;No;5
*let;No;2
*little;No;1
*message;No;1
*needle;No;2
*nsync;No;1
*repeat;No;1
*scratch*;No;1
*tooken;No;1
*watiting;No;2
+;No;2
+boss+;No;1
+hard;No;1
+is+;No;1
+pistol;No;1
+rerun+;No;1
+tha;No;1
+wankstas+;No;1
-;Yes;10
--;No;28
---;No;10
-a-i-r-o;No;1
-ane;No;2
-because;No;1
-de;No;4
-dig;No;3
-drops;No;1
-fade;No;1
-great;No;1
-hyde;No;1
-jing;No;2
-no;No;2
-pockets;No;4
-prises;No;1
-put;No;2
-razzi;No;1
-ry;No;1
-side;No;1
-sintegrate;No;1
-solo-;No;1
-ssault;No;1
-t;No;1
-til;No;1
-wind;No;12
-yeah;No;1
/;No;3
0;No;18
0-82;No;1
000;No;28
007;No;3
01;No;1
1;No;103
1-10;No;1
1-2;No;3
1-3-4;No;1
1-8-7;No;2
1-8-7-2;No;1
1-800-i'm;No;1
1-888;No;2
1-9;No;1
1-9-9-4-6;No;1
1-9-9-7;No;1
10;No;92
10%;No;2
10-;No;1
100;No;35
100%;No;1
100-yard;No;1
1000;No;14
1005;No;1
101;No;1
106;No;1
10th;No;3
11;No;11
11-year-olds;No;1
110;No;2
12;No;35
12-degree;No;2
12-gauge;No;3
12-step;No;1
12/08/73;No;2
120;No;1
1200;No;1
123;No;3
125;No;2
12p;No;1
12th;No;1
13;No;23
13th;No;11
14;No;18
14-18;No;1
15;No;32
150;No;1
1500;No;1
151;No;1
158;No;4
15s;No;1
16;No;21
16-carat;No;1
16th;No;7
16th-century;No;2
17;No;16
1738;No;5
175;No;2
1775;No;2
1776;No;2
18;No;20
18-point-5;No;1
180;No;5
1800;No;16
1814;No;2
1840;No;2
1860;No;1
187;No;17
1873;No;1
1874;No;4
188;No;1
1890;No;2
1899;No;2
18th;No;12
19;No;6
19-0-8;No;2
19-9-tre;No;2
1910;No;2
1920;No;3
1929;No;2
1944;No;1
1945;No;1
1949;No;1
1950s;No;1
1953;No;2
1955;No;3
1956;No;2
1958;No;1
1959;No;3
1960;No;2
1961;No;1
1962;No;1
1963;No;1
1964;No;1
1965;No;2
1969;No;3
1970;No;6
1972;No;2
1975;No;3
1976;No;3
1977;No;9
1978;No;1
1979;No;2
1980;No;3
1981;No;3
1982;No;2
1983;No;3
1984;No;2
1985;No;3
1986;No;1
1988;No;1
1990;No;17
1991;No;8
1992;No;3
1993;No;12
1994;No;32
1995;No;18
1996;No;12
1997;No;25
1998;No;6
1999;No;19
19th;No;2
1db;No;1
1h;No;1
1st;No;6
2;No;153
2+2;No;1
2-0;No;1
2-1;No;7
2-1-3;No;1
2-o;No;1
2-oh-6;No;1
2-wing;No;1
20;No;97
20-20;No;3
20-foot;No;1
20-year;No;3
200;No;21
2000;No;81
2000000;No;2
2001;No;4
2002;No;6
2003;No;3
2004;No;1
2005;No;16
2006;No;1
2007;No;3
2008;No;9
2009;No;8
2010;No;7
2012;No;3
2013;No;1
2015;No;4
2016;No;2
2017;No;14
2018;No;14
2019;No;16
202;No;2
2020;No;4
203;No;1
207;No;1
20k;No;2
20s;No;2
20th;No;23
21;No;12
210;No;1
211;No;1
213;No;12
21st;No;29
22;No;40
22%;No;1
220;No;7
227;No;2
22s;No;1
23;No;10
235;No;4
23rd;No;6
24;No;14
24-7;No;1
24-carat;No;4
24/7;No;14
240;No;1
24k;No;1
25;No;33
250;No;8
252012;No;1
2525;No;2
254;No;1
25s;No;1
25th;No;1
26;No;7
26m;No;1
27;No;3
28;No;2
28th;No;3
29;No;3
29th;No;2
2cb;No;3
2d;No;1
2deee;No;4
2deeeeeeeeeeeeeeeeeeee;No;1
2dope;No;1
2high;No;2
2nd;No;4
2pac;No;13
2paclypse;No;1
2x;No;1
3;No;105
3-4;No;1
3-6-5;No;7
3-course;No;1
3-d;No;1
30;No;50
30-deep;No;2
30-inch;No;1
300;No;12
3000;No;6
3012;No;6
309;No;23
30k;No;1
31;No;3
310;No;1
313;No;13
31st;No;2
32;No;11
320;No;1
323;No;2
328;No;1
32nd;No;1
33;No;1
334;No;2
34;No;4
35;No;6
357;No;1
359;No;1
35th;No;1
36;No;8
36-24-36;No;1
36-26;No;1
360;No;1
365;No;3
37;No;3
38;No;9
38-24-35;No;2
38-year-old;No;1
380;No;7
3am;No;1
3d;No;12
3h;No;3
3p;No;8
3rd;No;7
3t;No;1
3x;No;4
4;No;64
4-0;No;2
4-1009;No;2
4-4;No;1
4-4-4;No;1
4-5;No;7
4-5s;No;1
4/20;No;12
40;No;54
40-glock;No;1
40-some;No;1
400;No;9
405;No;4
40s;No;3
41;No;2
411;No;1
416;No;1
42;No;5
420;No;2
42nd;No;2
43;No;1
430;No;1
432-o;No;2
44;No;23
44'll;No;1
441;No;1
44d;No;2
45;No;34
450;No;1
450m;No;2
458;No;1
46;No;1
47;No;2
48;No;4
480;No;1
49er;No;1
4am;No;5
4k;No;1
4th;No;8
4x;No;6
5;No;84
5'3;No;1
5'9;No;3
5'9s;No;1
5*6;No;1
5-0;No;2
5-4-3-2;No;1
5-minute;No;1
50;Yes;303
50-cent;No;1
500;No;9
5000;No;3
501;No;5
501s;No;2
502;No;3
505;No;4
50cent;No;2
51;No;1
5133;No;2
5135;No;2
51st;No;2
52;No;2
54;No;1
55;No;2
555;No;16
59;No;1
5970;No;1
59th;No;1
5s;No;1
5th;No;11
6;No;47
6'1;No;1
6'2;No;2
6-2;No;1
6-40;No;1
6-6-6;No;1
60;No;19
600;No;2
60s;No;1
62;No;4
64;No;6
64s;No;1
65;No;2
66;No;1
666;No;16
68;No;2
69;No;3
69'ed;No;1
69ing;No;1
6th;No;9
6x;No;1
7;No;17
7-11;No;3
7-4;No;1
7-45;No;3
7-8;No;2
7-eleven;No;1
7-o-7;No;2
7-up;No;4
70;No;10
700;No;7
707;No;4
70s;No;2
713;No;3
73;No;1
740;No;1
745;No;3
747;No;3
75;No;3
75%;No;1
76;No;1
760;No;1
79;No;1
79th;No;3
7th;No;3
8;No;45
8-0-0;No;1
8-9-9-3-8-3-3;No;8
8-foot-4;No;4
8-track;No;1
8-year-old;No;1
80;No;13
80-;No;1
800;No;1
808;No;2
80s;No;3
81;No;1
815;No;2
818;No;3
82;No;3
83;No;1
84;No;1
85;No;3
85'er;No;1
86;No;3
87;No;3
873;No;1
87752-snoop;No;1
88;No;3
8th;No;3
9;No;71
9-1-1;No;2
9-11;No;2
9-5;No;1
9-6;No;2
9-7-0;No;1
9-to-5;No;1
9/11;No;1
90;No;18
90-proof;No;1
90-some;No;1
900;No;7
908;No;2
90s;No;2
91;No;1
911;No;24
92;No;2
923;No;2
93;No;1
94;No;5
95;No;3
95%;No;1
9500;No;1
96;No;16
98;No;3
99;No;30
995;No;1
9s;No;1
9th;No;13
9yeah;No;1
\m/;No;2
_and;No;1
_bad_;No;1
_im;No;2
_just;No;2
_peter;No;1
`cause;No;2
`cos;No;2
`till;No;4
a;Yes;52998
a&#287ac&#305n&#305n;No;1
a&#287ac&#305ndan;No;1
a&#351&#305p;No;1
a&#351a&#287&#305;No;2
a&r;No;7
a&w;No;1
a'breakin;No;1
a'comin;No;5
a'flying;No;2
a'glow;No;2
a'here;No;4
a'hurtin;No;3
a'ight;No;2
a'lazing;No;1
a'leaving;No;1
a'light;No;1
a'little;No;1
a'plenty;No;1
a'reaching;No;2
a'ringing;No;2
a'walking;No;11
a'wobbling;No;2
a**;No;6
a**es;No;1
a-;Yes;8
a-a;No;28
a-a-ah;No;3
a-a-arrest;No;2
a-a-away;No;1
a-a-h;No;2
a-a-lone;No;4
a-ah;No;1
a-ahh;No;1
a-ain't;No;4
a-alright;No;2
a-ama-zing;No;2
a-amen;No;2
a-and;No;7
a-ayy;No;12
a-b-c;No;2
a-bang;No;2
a-bay;No;1
a-beating;No;1
a-bidein;No;1
a-bigger;No;2
a-blazing;No;1
a-bless;No;2
a-blowing;No;1
a-bomb;No;4
a-bombs;No;1
a-bop-bop-a-loom-op;No;8
a-bopping;No;4
a-burning;No;2
a-buzz;No;2
a-buzzing;No;2
a-c;No;2
a-ching-chong-chong-chong-ching;No;1
a-christopher;No;1
a-chugging;No;2
a-clinking;No;2
a-coming;No;10
a-courting;No;1
a-crawling;No;1
a-cruising;No;1
a-crying;No;1
a-digging;No;1
a-directions;No;2
a-dum-dum-diddy;No;5
a-falling;No;5
a-feeling;No;3
a-fire;No;3
a-fraid;No;2
a-fuckin'-gain;No;1
a-gaiiin;No;1
a-gain;No;2
a-game;No;2
a-getting;No;4
a-glow;No;1
a-gonna;No;3
a-growing;No;1
a-hah;No;4
a-hahaha;No;1
a-hanging;No;4
a-happening;No;1
a-heaving;No;2
a-hole;No;2
a-holes;No;1
a-hoo;No;1
a-hopping;No;3
a-hot;No;1
a-hugging;No;1
a-humming;No;2
a-humph;No;1
a-hundred-fifty;No;1
a-hunting;No;1
a-hurry;No;2
a-hurting;No;7
a-jing-a-ling-a-ling;No;2
a-jupiter;No;2
a-just;No;2
a-k;No;1
a-k-a;No;2
a-kissing;No;3
a-known;No;4
a-la-la-la-lah-la-lahhhhh;Yes;2
a-leavin;No;1
a-leaving;No;1
a-li-de-li-de-li;No;13
a-light;No;4
a-line;No;3
a-ling;No;2
a-list;No;1
a-llergic;No;1
a-lonely;No;3
a-look;No;1
a-lop-bop-boom;No;8
a-ma-zing;No;1
a-man;No;2
a-men;No;1
a-mighty;No;2
a-movin;No;6
a-moving;No;3
a-n-i-m-a-l;No;4
a-no-no-knows;No;1
a-oh;No;12
a-ok;No;1
a-okay;No;1
a-p-p-l-a-u-s-e;No;3
a-parasite;No;1
a-please;No;2
a-plenty;No;1
a-popping;No;1
a-pulled;No;1
a-r;No;1
a-r-r-round;No;1
a-rabs;No;4
a-raising;No;1
a-rambling;No;1
a-read;No;2
a-reeling;No;1
a-riggy;No;2
a-ring;No;4
a-ringing;No;2
a-rocking;No;11
a-rolling;No;5
a-rudie;No;1
a-saying;No;1
a-see;No;1
a-shaking;No;2
a-side;No;1
a-slicing;No;3
a-some;No;3
a-squirming;No;2
a-standing;No;3
a-stayed;No;1
a-student;No;4
a-swirling;No;2
a-talking;No;1
a-tasket;No;1
a-team;No;2
a-telling;No;2
a-that;No;2
a-thinking;No;2
a-tisket;No;1
a-town;No;3
a-traveling;No;1
a-travelling;No;1
a-ttached;No;2
a-turning;No;5
a-twisting;No;2
a-u-g-u-s-t-a;No;1
a-v-entador;No;1
a-waiting;No;1
a-walking;No;3
a-way;No;5
a-we;No;3
a-when;No;6
a-whole;No;12
a-whores;No;1
a-wishing;No;3
a-with;No;1
a-woman;No;3
a-wondering;No;1
a-working;No;1
a-worming;No;2
a-yo;No;3
a-yonder;No;4
a1;No;5
a14;No;1
aa;No;6
aaa;No;3
aaaaah;No;2
aaah;No;5
aaah-aaah;No;2
aaah-aaah-aaah;No;2
aaair;No;4
aaay;No;1
aaaye;No;1
aah;Yes;136
aah-aah;No;14
aah-ah;No;2
aahbaaa;No;16
aahh;No;19
aaliyah;No;2
aaow;No;7
aaron;No;1
aayee;No;2
ab;No;1
ab-;No;1
aback;No;2
abadabababa;No;1
abalone;No;1
abandon;No;9
abandoned;No;23
abandonned;No;1
abanenkani;No;1
abasement;No;1
abate;No;2
abates;No;2
abating;No;3
abattoir;No;1
abaziyo;No;1
abbey;No;1
abby;No;1
abc;No;3
abc1970;No;1
abdomen;No;1
abducted;No;2
abduction;No;7
abducts;No;2
abdul;No;1
abdul-j-j-jabbarie;No;1
abe;No;2
abednego;No;2
abednigo;No;1
abeg;No;1
abeing;No;2
abel;No;7
aber;No;2
abercrombie;No;2
abernathy;No;1
abhor;No;5
abi;No;1
abide;No;6
abiding;No;3
abigail;No;2
abilene;No;2
ability;No;6
ablaze;No;23
able;Yes;115
abner;No;11
abnormal;No;4
abnormalities;No;1
aboard;No;22
abode;No;1
abolishing;No;2
abomination;No;4
abominations;No;4
aborigine;No;1
abort;No;4
abortion;No;7
abortions;No;3
abound;No;1
abounding;No;4
abounds;No;2
about;Yes;4696
aboutforgive;No;2
aboutins;No;10
above;Yes;548
abracadabra;No;2
abracadoo;No;1
abraham;No;31
abrasive;No;1
abreast;No;1
abridged;No;3
abroad;No;7
abscess;No;1
absence;No;4
absent;No;4
absent-minded;No;3
absessed;No;1
absinthe;No;3
absolut;No;2
absolute;No;15
absolutely;No;26
absolution;No;6
absorb;No;2
absorbed;No;1
absorbent;No;1
absorbing;No;2
abstain;No;1
abstract;No;7
absurd;No;15
abu;No;2
abundance;No;1
abundant;No;1
abuse;No;43
abused;No;21
abuser;No;1
abuses;No;1
abusing;No;12
abysmal;No;1
abyss;No;17
ac;No;2
ac-cent-tchu-ate;No;3
ac/dc;No;2
acabar;No;1
acacia;No;4
acacias;No;2
acapella;No;2
acappella;No;1
acapulco;No;11
acathemy;No;4
accapella;No;2
acccident;No;1
accelerants;No;1
accelerate;No;6
accelerating;No;1
acceleration;No;4
accelerator;No;2
accellerater;No;1
accent;No;15
accents;No;3
accept;No;91
acceptance;No;4
accepted;No;6
accepting;No;4
accepts;No;2
access;No;2
accessible;No;2
accessories;No;1
accessory;No;3
acci-dently;No;1
accident;No;24
accidental;No;6
accidentally;No;15
accidentaly;No;10
accidents;No;11
acción;No;1
acclaim;No;5
acclamation;No;3
acclimated;No;1
accolades;No;2
accommodate;No;1
accommodated;No;1
accompagnato;No;1
accompanied;No;1
accompany;No;2
accomplish;No;3
accomplished;No;9
accomplishment;No;1
accomplishments;No;5
accord;No;6
according;Yes;26
accordion;No;3
account;No;23
accountability;No;3
accountable;No;1
accountant;No;3
accountants;No;1
accounted;No;4
accounts;No;6
accumulates;No;2
accumulating;No;1
accumulations;No;2
accuracy;No;16
accursed;No;1
accusation;No;2
accusations;No;5
accuse;No;9
accused;No;9
accusers;No;1
accusing;No;3
accustomed;No;8
ace;No;25
acelera;No;1
acercando;No;2
aces;No;27
acetaminophen;No;7
acetylene;No;2
acguitar;No;7
achar;No;1
achbar;No;1
ache;No;82
achei;No;1
aches;No;24
achieve;No;15
achieved;No;7
achiever;No;1
achieving;No;5
achilles;No;8
aching;No;49
achoo;No;1
achtar;No;1
achtung;No;2
achtzehn;No;1
achy;No;1
acid;No;28
acing;No;1
ack;No;3
acknowledge;No;10
acknowledged;No;1
acknowledging;No;2
acobardarme;No;1
acompáñame;No;1
acorn;No;2
acquainted;No;5
acquire;No;4
acquired;No;5
acquisitions;No;2
acquitted;No;4
acre;No;4
acres;No;9
acrid;No;2
acrobat;No;4
acrobatic;No;4
acrobatics;No;1
acronym;No;2
acropolis;No;2
across;Yes;476
act;Yes;433
acted;No;15
actin;No;6
acting;No;209
action;No;105
action-thriller;No;4
actions;No;26
activate;No;2
activated;No;2
activates;No;1
activator;No;1
active;No;6
actively;No;4
activists;No;1
activities;No;1
activity;No;4
activité;No;1
actor;No;14
actors;No;3
actress;No;24
actresses;No;1
acts;No;27
actual;No;10
actually;Yes;61
acuerdes;No;2
acupuncture;No;1
acuster;No;1
acá;No;1
ad;No;21
ad&#305ndaki;No;1
ad-lib;No;1
ad-libber;No;1
ad-libs;No;2
adage;No;1
adam;No;29
adamant;No;2
adams;No;5
adapt;No;9
adapted;No;1
adapter;No;2
adaptor;No;1
adat;No;1
adats;No;1
add;No;62
added;Yes;28
addict;No;25
addicted;No;116
addiction;No;28
addictions;No;2
addictive;No;2
addicts;No;10
adding;No;17
addition;No;7
addres;No;1
address;No;21
addressed;No;2
addresses;No;2
addressing;No;2
adds;No;11
addy;No;1
adele;No;2
adequate;No;1
adhd;No;1
adhering;No;4
adhim;No;2
adicción;No;1
adicta;No;1
adida;No;1
adidas;No;4
adies;No;2
adieu;No;9
adios;No;10
adiós;No;5
adjacent;No;2
adjective;No;2
adjectives;No;1
adjourned;No;1
adjust;No;8
adjustable;No;1
adjusted;No;1
adjusting;No;3
adjustment;No;1
adlib;No;1
administer;No;2
administration;No;3
admirabilis;No;1
admiral;No;1
admiration;No;7
admire;No;17
admired;No;3
admirer;No;2
admires;No;1
admiring;No;2
admission;No;4
admissions;No;1
admit;No;98
admits;No;3
admitted;No;3
admittedly;No;1
admittin;No;2
admitting;No;11
adn;No;1
ado;No;6
adolescent;No;6
adolf;No;1
adomakin;No;1
adonde;No;2
adopt;No;7
adopted;No;3
adorable;No;7
adoration;No;3
adore;No;148
adored;No;19
adorent;No;1
adores;No;9
adorm;No;2
adoro;No;1
adrenalin;No;8
adrenalina;No;3
adrenaline;No;30
adrenalize;No;1
adrian;No;6
adrift;No;10
ads;No;3
adulation;No;1
adult;No;6
adult'ry;No;1
adults;No;2
advance;No;9
advanced;No;3
advancement;No;1
advancements;No;1
advances;No;6
advantage;No;23
advantages;No;2
adventure;No;21
adventurer;No;1
adventures;No;1
adventurous;No;3
adversaries;No;1
adverse;No;1
adversity;No;5
advert;No;1
advertise;No;6
advertised;No;1
advertising;No;36
advice;No;105
advil;No;1
advise;No;4
advised;No;5
advising;No;1
advisory;No;1
advocate;No;2
ae;No;5
aegean;No;1
aeons;No;1
aer'plane;No;2
aerial;No;1
aerials;No;6
aero;No;1
aeroplane;No;13
aerosmith;No;1
aerosol;No;2
aerospace;No;1
aeternum;No;8
afar;No;32
afeared;No;1
afeni;No;1
affable;No;1
affair;No;97
affairs;No;12
affect;No;9
affected;Yes;4
affecting;Yes;3
affection;No;33
affectionate;No;3
affections;No;5
affects;Yes;2
affidavit;No;1
affiliated;No;18
affiliates;No;2
affinity;No;5
affirmative;No;2
affixed;No;1
afflicted;No;6
afflicting;No;2
affliction;No;5
afford;No;69
affordable;No;1
affording;No;2
affray;No;2
affriad;No;1
afghan;No;1
afghanistan;No;2
afire;No;9
aflame;No;10
aflight;No;2
afloat;No;7
afraid;No;485
africa;No;10
african;No;8
african-americans;No;1
africans;No;1
afro;No;5
afro-sheeners;No;1
afros;No;4
aft;No;1
after;Yes;978
after-mizz-ath;No;1
after-party;No;1
after-taste;No;2
afterglow;No;5
afterlife;No;8
aftermath;No;41
afternoon;No;84
afternoons;No;7
aftershave;No;1
aftershock;No;5
aftershocks;No;1
aftertaste;No;3
afterthought;No;1
afterwards;Yes;4
ag;No;2
again;Yes;3327
againg;No;1
against;Yes;452
againwoooah;No;3
agank;No;1
agatha;No;1
age;No;169
aged;No;3
ageless;No;6
agencies;No;2
agency;No;1
agenda;No;3
agendas;No;1
agent;No;14
agents;No;1
ager;No;1
ages;No;58
aggh;No;1
aggrandize;No;1
aggravate;No;3
aggravated;No;2
aggravating;No;1
aggravation;No;20
aggression;No;22
aggressions;No;1
aggressive;No;7
aggressively;No;2
aggressor;No;3
agh;No;1
agility;No;3
aging;No;7
agitate;No;2
agitated;No;1
agitation;No;2
agitator;No;2
aglow;No;17
ago;No;315
agony;No;29
agosto;No;1
agra;No;1
agree;No;70
agreed;No;21
agreeing;No;2
agrees;No;4
aground;No;2
agua;No;3
aguantará;No;1
aguardiente;No;1
aguas;No;1
aguilera;No;1
ah;Yes;987
ah-ah;No;38
ah-ah-ah;No;21
ah-ah-ah-ah;No;9
ah-ah-ah-ah-ah;No;39
ah-ah-ah-ah-ah-ah;No;3
ah-ah-ah-oh;No;20
ah-aye;No;1
ah-be-ba;No;2
ah-choo;No;1
ah-ha;No;30
ah-ha-ha;No;1
ah-ha-ha-ha;No;1
ah-haha;No;3
ah-knocking;No;1
ah-nuld;No;1
ah-ooo;No;3
ah-telling;No;4
ah-yeah-yeah-yeah-yeah-yeah-yeah;No;3
ah-yo;No;2
aha;No;10
aha-aha;No;8
aha-ha;No;9
ahaaa;No;1
ahaha;No;1
ahead;No;338
ahelei;No;1
ahh;No;62
ahh-ahh-ahh;No;6
ahh-ha;No;3
ahhh;No;26
ahhhh;No;1
ahhhhh;No;6
ahhhhhh;No;10
ahiln;No;4
ahime;No;1
ahizzead;No;2
ahn;No;18
ahoi;No;2
ahold;No;4
ahora;No;4
ahoy;No;5
ahshi;No;24
ahw;No;2
ahí;No;3
ai;No;36
ai-ai-n't;No;1
aid;No;11
aids;No;15
aight;No;31
aiken;No;1
ailing;No;2
aim;No;74
aime;No;6
aimed;No;17
aimes;No;2
aiming;No;27
aimless;No;7
aimlessly;No;7
aims;No;15
ain;No;12
ain't;Yes;5516
ainda;No;8
aing;No;1
aint;No;66
air;No;689
air-conditioning;No;1
air-freshen;No;1
air-pollution;No;2
airbags;No;1
airborne;No;4
airbourne;No;1
airbrush;No;1
aires;No;15
airhead;No;1
airless;No;2
airline;No;2
airplane;No;9
airplanes;No;5
airplay;No;3
airport;No;20
airs;No;3
airship;No;3
airspace;No;1
airwave;No;1
airwaves;No;2
airway;No;2
