artist_name;symbol;token_count;index_symbol_artist
Elvis Presley;day;473;5
Elvis Presley;life;457;6
Elvis Presley;night;385;7
Elvis Presley;time references;382;8
Elvis Presley;God/Christ;374;9
Elvis Presley;suffering;271;10
Elvis Presley;nature;269;11
Elvis Presley;dream;248;12
Elvis Presley;city;170;13
Elvis Presley;fire;142;14
Elvis Presley;freedom;106;15
Elvis Presley;death;101;16
Elvis Presley;money;89;17
Elvis Presley;hell;83;18
Elvis Presley;authority/power;78;19
Elvis Presley;war/weapons;76;20
Elvis Presley;insane;66;21
Elvis Presley;darkness;43;22
Elvis Presley;the hood;16;23
Elvis Presley;bitch;11;24
Elvis Presley;crime;11;25
Elvis Presley;hate;10;26
Elvis Presley;killing;7;27
Elvis Presley;cities;4;28
Eminem;bad words;2514;1
Eminem;people;1593;2
Eminem;part of body;1175;3
Eminem;bitch;727;4
Eminem;love/tender;715;5
Eminem;sentiment;704;6
Eminem;life;445;7
Eminem;death;328;8
Eminem;time references;315;9
Eminem;day;308;10
Eminem;suffering;306;11
Eminem;insane;280;12
Eminem;war/weapons;261;13
Eminem;killing;257;14
Eminem;hell;234;15
Eminem;God/Christ;223;16
Eminem;hate;189;17
Eminem;crime;184;18
Eminem;nigga;172;19
Eminem;fire;143;20
Eminem;city;128;21
Eminem;night;127;22
Eminem;money;88;23
Eminem;nature;87;24
Eminem;weed/drugs/booze;87;25
Eminem;authority/power;84;26
Eminem;darkness;81;27
Eminem;dream;63;28
Eminem;the hood;62;29
Eminem;freedom;55;30
Eminem;cities;47;31
Eminem;destruction;45;32
Eminem;sex;32;33
Evanescence;sentiment;175;1
Evanescence;love/tender;171;2
Evanescence;suffering;147;3
Evanescence;life;124;4
Evanescence;part of body;101;5
Evanescence;dream;62;6
Evanescence;death;58;7
Evanescence;darkness;43;8
Evanescence;day;38;9
Evanescence;nature;35;10
Evanescence;time references;32;11
Evanescence;God/Christ;21;12
Evanescence;night;21;13
Evanescence;freedom;17;14
