artist_name;song_title
Frank Sinatra;Leaving On A Jet Plane
Frank Sinatra;Let It Snow! Let It Snow! Let It Snow!
Frank Sinatra;Let Me Try Again
Frank Sinatra;Let Us Break Bread Together
Frank Sinatra;Let's Face The Music And Dance
Frank Sinatra;Let's Fall In Love
Frank Sinatra;Let's Get Away From It All
Frank Sinatra;Life's A Trippy Thing
Frank Sinatra;Like A Sad Song
Frank Sinatra;Like Someone In Love
Frank Sinatra;Linda
Frank Sinatra;Little Girl Blue
Frank Sinatra;Little Green Apples
Frank Sinatra;London By Night
Frank Sinatra;Lonely Town
Frank Sinatra;Lonesome Cities
Frank Sinatra;Look To Your Heart
Frank Sinatra;Looking At The World Thru Rose Colored Glasses
Frank Sinatra;Lost In The Stars
Frank Sinatra;Love And Marriage
Frank Sinatra;Love Is A Many-Splendored Thing
Frank Sinatra;Love Is Here To Stay
Frank Sinatra;Love Is Just Around The Corner
Frank Sinatra;Love Isn't Just For The Young
Frank Sinatra;Love Locked Out
Frank Sinatra;Love Makes Us Whatever We Want To Be
Frank Sinatra;Love Me Tender
Frank Sinatra;Love Walked In
Frank Sinatra;Love's Been Good To Me
Frank Sinatra;Lover
Frank Sinatra;Luck Be A Lady
Frank Sinatra;MacArthur Park
Frank Sinatra;Mack The Knife
Frank Sinatra;Makin' Whoopee
Frank Sinatra;Mam'selle
Frank Sinatra;Mama Will Bark
Frank Sinatra;Marshmallow World
Frank Sinatra;Maybe You'll Be There
Frank Sinatra;Me And My Shadow
Frank Sinatra;Meditation (Meditacao)
Frank Sinatra;Memories Of You
Frank Sinatra;Michael And Peter
Frank Sinatra;Mind If I Make Love To You
Frank Sinatra;Mister Booze
Frank Sinatra;Mistletoe And Holly
Frank Sinatra;Misty
Frank Sinatra;Moment To Moment
Frank Sinatra;Monday Morning Quarterback
Frank Sinatra;Mood Indigo
Frank Sinatra;Moody River
Frank Sinatra;Moon Love
Frank Sinatra;Moon River
Frank Sinatra;Moon Song
Frank Sinatra;Moonlight Becomes You
Frank Sinatra;Moonlight In Vermont
Frank Sinatra;Moonlight Mood
Frank Sinatra;Moonlight On The Ganges
Frank Sinatra;Moonlight Serenade
Frank Sinatra;More (Theme From Mondo Cane)
Frank Sinatra;More Than You Know
Frank Sinatra;Mrs. Robinson
Frank Sinatra;My Baby Just Cares For Me
Frank Sinatra;My Blue Heaven
Frank Sinatra;My Foolish Heart
Frank Sinatra;My Funny Valentine
Frank Sinatra;My Heart Stood Still
Frank Sinatra;My Kind Of Girl
Frank Sinatra;My Kind Of Town
Frank Sinatra;My One And Only Love
Frank Sinatra;My Shining Hour
Frank Sinatra;My Sweet Lady
Frank Sinatra;My Way
Frank Sinatra;My Way Of Life
Frank Sinatra;Name It And It's Yours
Frank Sinatra;Nancy
Frank Sinatra;Nevertheless
Frank Sinatra;Nice 'N' Easy
Frank Sinatra;Nice Work If You Can Get It
Frank Sinatra;Night
Frank Sinatra;Night And Day
Frank Sinatra;No One Ever Tells You
Frank Sinatra;Noah
Frank Sinatra;Nobody Wins
Frank Sinatra;None But The Lonely Heart
Frank Sinatra;Not As A Stranger
Frank Sinatra;Nothing But The Best
Frank Sinatra;Nothing In Common
Frank Sinatra;Now Is The Hour
Frank Sinatra;Oh! Look At Me Now
Frank Sinatra;Oh! What It Seemed To Be
Frank Sinatra;Oh, How I Miss You Tonight
Frank Sinatra;Oh, You Crazy Moon
Frank Sinatra;Ol' Man River
Frank Sinatra;Ol' McDonald
Frank Sinatra;Old Devil Moon
Frank Sinatra;On A Clear Day (You Can See Forever)
Frank Sinatra;On The Road To Mandalay
Frank Sinatra;On The Sunny Side Of The Street
Frank Sinatra;Once I Loved (O Amor En Paz)
Frank Sinatra;Once Upon A Time
Frank Sinatra;One For My Baby (And One More For The Road)
Frank Sinatra;One Note Samba (Samba De Uma Nota So)
Frank Sinatra;Only One To A Customer
Frank Sinatra;Only The Lonely
Frank Sinatra;Our Town
Frank Sinatra;Out Beyond The Window
Frank Sinatra;Over The Rainbow
Frank Sinatra;P.S. I Love You
Frank Sinatra;Paper Doll
Frank Sinatra;Paradise
Frank Sinatra;Pass Me By
Frank Sinatra;Pennies From Heaven
Frank Sinatra;Pick Yourself Up
Frank Sinatra;Please Be Kind
Frank Sinatra;Please Don't Talk About Me When I'm Gone
Frank Sinatra;Pocketful Of Miracles
Frank Sinatra;Polka Dots And Moonbeams
Frank Sinatra;Poor Butterfly
Frank Sinatra;Pretty Colors
Frank Sinatra;Prisoner Of Love
Frank Sinatra;Put Your Dreams Away
Frank Sinatra;Quiet Nights Of Quiet Stars (Corcovado)
Frank Sinatra;Rain
Frank Sinatra;Rain In My Heart
Frank Sinatra;Reaching For The Moon
Frank Sinatra;Remember
Frank Sinatra;Ring-A-Ding Ding
Frank Sinatra;River, Stay 'Way From My Door
